登録番号,資料名,材質＊,材質＊,材質＊,材質＊,材質＊,材質＊,材質＊,点数＊,状態＊,備考＊,収蔵場所,旧蔵者,受入年月,受入方法,収蔵場所,所蔵者,調査年月,調査者,撮影備考
ODK00032,火入れ,陶陶磁器,,,,,,,1点,,こたつの一部ヵ。,入り口左手前,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00033,花籠,金属,植物繊維,竹,,,,,1点,,,入り口左手前,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00034,看板,金属,,,,,,,1点,,,入り口左手前,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00035,葛籠,植物繊維,竹,その他（柿渋）,,,,,1点,,内部に文書入封筒二袋あり。,入り口左手前,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00036,木箱,木,,,,,,,1点,,ODK00037-ODK00042までODK00036の木箱入り。,入り口左手前,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00037,缶箱,金属,,,,,,,1点,　,ODK00037-ODK00042までODK00036の木箱入り。,入り口左手前,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00038,将棋の駒他,木,金属,紙,,,,,1揃(27点),,ODK00037-ODK00042までODK00036の木箱入り。駒22点、鍵2点、缶箱１点、その他２点。,入り口左手前,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00039,木,木,,,,,,,1揃(8点),,ODK00037-ODK00042までODK00036の木箱入り。,入り口左手前,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00040,茶筒,金属,,,,,,,1点,,ODK00037-ODK00042までODK00036の木箱入り。,入り口左手前,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00041,缶箱,金属,,,,,,,1点,,ODK00037-ODK00042までODK00036の木箱入り。,入り口左手前,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00042,缶箱,金属,,,,,,,1点,,ODK00037-ODK00042までODK00036の木箱入り。文字情報は00041と同じ。,入り口左手前,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00043,軸箱,木,金属,,,,,,1点,,箱に古文書あり。,入り口左手前,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00044,双眼望遠鏡,金属,合成樹脂,,,,,,1点,,,入り口左手前,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00045,行火炬燵,木,陶磁器,,,,,,1点,,炭と灰あり。,入り口左手前,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00046,炭火アイロン,金属,合成樹脂,植物繊維,,,,,1揃(3点),,木箱入り。,入り口左手前,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00047,篩,木,金属,,,,,,1点,,,入り口左手前,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00048,枕ヵ,陶陶磁器,金属,植物繊維,,,,,1点,,,入り口左手前,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00049,木べら,木,,,,,,,1点,,ラケット状,入り口左手前,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00050,花瓶（仏壇用ヵ）,金属,,,,,,,1点,破損,修復跡あり。,入り口左手前,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00051,斗掻ヵ,木,紙,,,,,,2点,,,入り口左手前,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00052,金属トレイ,金属,,,,,,,1点,,,入り口左手前,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00053,炭入れヵ（コンロヵ）,金属,,,,,,,1点,,バーベキューの道具のようなものか。中に炭を入れて使用する。,入り口左手前,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00054,行火炬燵,木,陶磁器,,,,,,1揃(2点),破損,,入り口左手前,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00055,ふわり（いとけえし）,木,金属,植物繊維,,,,,1点,欠損,ODK00012の台座,入り口左手前,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00056,火鉢,陶陶磁器,,,,,,,1点,,灰あり。,入り口左手前,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00057,火鉢,陶陶磁器,,,,,,,1点,,灰あり。,入り口左手前,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00058,金属筒,金属,,,,,,,1点,,,入り口左手前,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00059,火入れ,木,金属,,,,,,1点,,灰あり。,入り口左手前,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00060,木製法螺貝,木,金属,,,,,,1点,,,入り口左手前,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00061,葛籠,植物繊維,竹,,,,,,1点,,,入り口左手前,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00062,籠（花嫁用）,竹,植物繊維,金属,木,,,,1点,,,入り口左手前,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00063,籠（花嫁用）,竹,植物繊維,金属,木,,,,1点,破損,,入り口左手前,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00064,傘,竹,金属,紙,革,植物繊維,木,その他(塗りあり),1点,,,入り口左手前,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00065,傘,竹,金属,紙,革,植物繊維,木,その他(塗りあり),1点,破損,,入り口左手前,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00066,傘,竹,金属,紙,植物繊維,木,その他(塗りあり),,1点,破損,,入り口左手前,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00067,傘,竹,金属,紙,植物繊維,木,その他(塗りあり),,1点,,付紙破れた。,入り口左手前,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00068,鋏,木,金属,,,,,,1点,,,入り口左手前,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00069,糸車,木,竹,植物繊維,金属,,,,1点,,,入り口左手前,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,ホワイトボード忘れ
ODK00070,糸車,木,竹,植物繊維,金属,,,,1点,,,入り口左手前,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,ホワイトボード忘れ
ODK00071,糸車,木,竹,植物繊維,金属,,,,1点,,,入り口左手前,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,ホワイトボード忘れ
ODK00072,糸車,木,竹,植物繊維,,,,,1点,,,入り口左手前,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,ホワイトボード忘れ
ODK00073,糸車,木,竹,植物繊維,金属,,,,1点,破損,穴にさしこんだ木の棒あり。,入り口左手前,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,ホワイトボード忘れ
ODK00074,糸車,木,竹,植物繊維,金属,,,,1点,,,入り口左手前,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00075,糸車,木,竹,植物繊維,金属,,,,1点,,,入り口左手前,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00076,望遠鏡,金属,ガラス,,,,,,1揃(部品複数あり),カビ,木箱入り。部品複数あり。,入り口左手前,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00077,風呂桶,木,竹,金属,,,,,1点,,関係ないメモ紙あり。,入り口左手前,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
ODK00078,箪笥,木,金属,その他(塗り ),,,,,1点,破損（一部）,各抽斗に物あり。抽斗1：かんざし・糸・東北漁網撚糸工業組合の用品等、抽斗2：七夕短冊・飾り等、抽斗3：洗剤・化粧品・そろばん等、抽斗4：鋏・毛糸・文書等、抽斗5：綿・櫛・糸巻等、抽斗6：糸・布等。,入り口左手前,旧水沢市民俗資料室,,寄贈,おだき（愛宕）文化財整理室,奥州市,2019年8月,合同会社AMANE,
